fips,state,statefp,countyfp,name,type
57001,FR,57,001,Foreign - Overseas,
57003,FR,57,003,Foreign - Puerto Rico,
57005,FR,57,005,Foreign - APO/FPO ZIPs,
57007,FR,57,007,Foreign - US Virgin Islands,
57009,FR,57,009,Foreign - Other flows,
58000,SS,58,000,Other flows - Same State,
59000,DS,59,000,Other flows - Different State,
59001,DS,59,001,Other flows - Northeast,
59003,DS,59,003,Other flows - Midwest,
59005,DS,59,005,Other flows - South,
59007,DS,59,007,Other flows - West,
96000,TT,96,000,Total Migration-US and Foreign,
97000,TT,97,000,Total Migration-US,
97001,TT,97,001,Total Migration-Same State,
97003,TT,97,003,Total Migration-Different State,
98000,TT,98,000,Total Migration-Foreign,